candidate,domain,language_scope,tasks,disorders,evidence_level,status,feature_keys,reference,reason
artic_consonant_duration_mean_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_consonant_duration_mean_s,Neurodegenerative speech feature expansion v1,
artic_consonant_duration_sd_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_consonant_duration_sd_s,Neurodegenerative speech feature expansion v1,
artic_f1_within_vowel_sd_hz,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_f1_within_vowel_sd_hz,Neurodegenerative speech feature expansion v1,
artic_f2_within_vowel_sd_hz,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_f2_within_vowel_sd_hz,Neurodegenerative speech feature expansion v1,
artic_formant_centralization_ratio,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_formant_centralization_ratio,Neurodegenerative speech feature expansion v1,
artic_formant_transition_slope_mean_hz_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_formant_transition_slope_mean_hz_s,Neurodegenerative speech feature expansion v1,
artic_fricative_m1_mean,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_fricative_m1_mean,Neurodegenerative speech feature expansion v1,
artic_fricative_m2_mean,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_fricative_m2_mean,Neurodegenerative speech feature expansion v1,
artic_fricative_m3_mean,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_fricative_m3_mean,Neurodegenerative speech feature expansion v1,
artic_fricative_m4_mean,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_fricative_m4_mean,Neurodegenerative speech feature expansion v1,
artic_resonance_attenuation_mean_db,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_resonance_attenuation_mean_db,Neurodegenerative speech feature expansion v1,
artic_stop_gap_mean_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_stop_gap_mean_s,Neurodegenerative speech feature expansion v1,
artic_stop_gap_sd_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_stop_gap_sd_s,Neurodegenerative speech feature expansion v1,
artic_vot_mean_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vot_mean_s,Neurodegenerative speech feature expansion v1,
artic_vot_sd_s,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vot_sd_s,Neurodegenerative speech feature expansion v1,
artic_vowel_articulation_index,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vowel_articulation_index,Neurodegenerative speech feature expansion v1,
artic_vowel_dispersion_mean_hz,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vowel_dispersion_mean_hz,Neurodegenerative speech feature expansion v1,
artic_vowel_dispersion_sd_hz,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vowel_dispersion_sd_hz,Neurodegenerative speech feature expansion v1,
artic_vowel_space_area_hz2,articulation,language_sensitive,connected_speech,als|ataxia|cbs|hd|mnd|ms|msa|pd|pdd|psp,derived_companion,implemented,artic_vowel_space_area_hz2,Neurodegenerative speech feature expansion v1,
egemaps_f1amplitudelogrelf0_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1amplitudelogrelf0_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
